Subject,Start Date,Start Time,End Time,Description
Sardoche vs Neeko,02/14/2021,12:00 PM,1:15 PM,Group A: Match 1
Pokimane vs Daniel Negreanu,02/14/2021,1:20 PM,2:35 PM,Group B: Match 2
BenjyFishy vs Myth,02/14/2021,2:40 PM,3:50 PM,Group A: Match 3
xQc vs Rubius,02/15/2021,12:20 PM,1:35 PM,Group B: Match 4
Logic vs Tubbo,02/15/2021,1:40 PM,2:50 PM,Group C: Match 5
Rainn Wilson vs Michelle Khare,02/15/2021,3:00 PM,4:10 PM,Group C: Match 6
CodeMiko vs MoistCr1tikal,02/16/2021,12:00 PM,1:15 PM,Group D: Match 7
Ludwig vs MrBeast,02/16/2021,1:20 PM,2:35 PM,Group D: Match 8
Myth vs Sardoche,02/16/2021,2:40 PM,3:50 PM,Group A: Match 9
Rubius vs Daniel Negreanu,02/17/2021,12:00 PM,1:15 PM,Group B: Match 10
xQc vs Pokimane,02/17/2021,1:20 PM,2:35 PM,Group B: Match 11
Neeko vs BenjyFishy,02/17/2021,2:40 PM,3:50 PM,Group A: Match 12
Michelle Khare vs Logic,02/18/2021,12:20 PM,1:35 PM,Group C: Match 13
MrBeast vs MoistCr1tikal,02/18/2021,1:40 PM,2:50 PM,Group D: Match 14
Tubbo vs Rainn Wilson,02/18/2021,3:00 PM,4:10 PM,Group C: Match 15
Neeko vs Myth,02/19/2021,12:00 PM,1:15 PM,Group A: Match 16
Ludwig vs CodeMiko,02/19/2021,1:20 PM,2:35 PM,Group D: Match 17
BenjyFishy vs Sardoche,02/19/2021,2:40 PM,3:50 PM,Group A: Match 18
Pokimane vs Rubius,02/20/2021,12:20 PM,1:35 PM,Group B: Match 19
Daniel Negreanu vs xQc,02/20/2021,1:40 PM,2:50 PM,Group B: Match 20
Rainn Wilson vs Logic,02/20/2021,3:00 PM,4:10 PM,Group C: Match 21
Tubbo vs Michelle Khare,02/21/2021,12:00 PM,1:15 PM,Group C: Match 22
CodeMiko vs MrBeast,02/21/2021,1:20 PM,2:35 PM,Group D: Match 23
MoistCr1tikal vs Ludwig,02/21/2021,2:40 PM,3:50 PM,Group D: Match 24
Group A Winner vs Group B 2nd Pl,02/23/2021,12:00 PM,1:15 PM,Champ QF: Match 25
Group B Winner vs Group A 2nd Pl,02/23/2021,1:20 PM,2:35 PM,Champ QF: Match 26
Group A 3rd Pl vs Group B 4th Pl,02/23/2021,2:40 PM,3:50 PM,Cons QF: Match 27
Group C Winner vs Group D 2nd Pl,02/24/2021,11:00 AM,12:15 PM,Champ QF: Match 28
Group B 3rd Pl vs Group A 4th Pl,02/24/2021,12:20 PM,1:35 PM,Cons QF: Match 29
Group D 3rd Pl vs Group C 4th Pl,02/24/2021,1:40 PM,2:50 PM,Cons QF: Match 30
Group D Winner vs Group C 2nd Pl,02/25/2021,12:00 PM,1:15 PM,Champ QF: Match 31
Group C 3rd Pl vs Group D 4th Pl,02/25/2021,1:20 PM,2:35 PM,Cons QF: Match 32
Match 25 Winner vs Match 28 Winner,02/26/2021,12:00 PM,1:15 PM,Champ SF: Match 33
Match 29 Winner vs Match 30 Winner,02/26/2021,1:20 PM,2:35 PM,Cons SF: Match 34
Match 26 Winner vs Match 31 Winner,02/27/2021,12:00 PM,1:15 PM,Champ SF: Match 35
Match 27 Winner vs Match 30 Winner,02/27/2021,1:20 PM,2:35 PM,Cons SF: Match 36
Match 34 Winner vs Match 36 Winner,02/28/2021,1:20 PM,2:35 PM,Cons Final: Match 37
Match 33 Winner vs Match 35 Winner,02/28/2021,2:40 PM,3:50 PM,Champ Final: Match 38